"NOM_STATION_COMPOSITE","CODE_DES_NORMALES","NOM_DE_LA_STATION","ID_CLIMATOLOGIQUE","ID_DE_l'OMM","ID_DE_TC","PROVINCE_OU_TERRITOIRE","LATITUDE","LONGITUDE","ALTITUDE(m)"
"ROSETOWN","C","ROSETOWN","4046879","","","SASKATCHEWAN","51,62","-108,02","586,1"
"ROSETOWN","C","ROSETOWN EAST","4046884","71510","WRJ","SASKATCHEWAN","51,57","-107,92","586,0"
"SASKATOON DIEFENBAKER (AÉROPORT)","C","SASKATOON DIEFENBAKER INT'L A","4057120","71866","YXE","SASKATCHEWAN","52,17","-106,72","504,1"
"SASKATOON DIEFENBAKER (AÉROPORT)","C","SASKATOON INTL A","4057152","","YXE","SASKATCHEWAN","52,17","-106,70","504,1"
"SASKATOON DIEFENBAKER (AÉROPORT)","C","SASKATOON RCS","4057165","71496","POX","SASKATCHEWAN","52,17","-106,72","504,1"
"STONY RAPIDS","D","STONY RAPIDS","4067799","71132","YSF","SASKATCHEWAN","59,25","-105,84","244,2"
"STONY RAPIDS","D","STONY RAPIDS A","4067PR5","71132","YSF","SASKATCHEWAN","59,25","-105,83","245,4"
"SWIFT CURRENT","D","SWIFT CURRENT","4028038","71142","YYN","SASKATCHEWAN","50,29","-107,69","816,9"
"SWIFT CURRENT","D","SWIFT CURRENT A","4028040","71870","YYN","SASKATCHEWAN","50,30","-107,68","816,9"
"SWIFT CURRENT","D","SWIFT CURRENT CDA","4028060","71446","WVC","SASKATCHEWAN","50,27","-107,73","825,0"
"WATROUS","C","WATROUS","4018640","","","SASKATCHEWAN","51,67","-105,47","541,0"
"WATROUS","C","WATROUS EAST","4018642","71511","WIW","SASKATCHEWAN","51,67","-105,40","525,6"
"YORKTON","C","YORKTON","4019073","71886","PRJ","SASKATCHEWAN","51,26","-102,46","498,4"
"YORKTON","C","YORKTON","4019075","71292","YQV","SASKATCHEWAN","51,26","-102,46","498,3"
"YORKTON","C","YORKTON","4019085","71138","YQV","SASKATCHEWAN","51,26","-102,46","498,3"
"YORKTON","C","YORKTON A","4019080","71138","YQV","SASKATCHEWAN","51,27","-102,47","498,3"
"BADGER","E","BADGER (AUT)","8400301","71400","WDI","TERRE-NEUVE","48,97","-56,07","102,7"
"BAY D'ESPOIR GEN STN","E","BAY D'ESPOIR GEN STN","8400413","","","TERRE-NEUVE","47,98","-55,80","22,9"
"BONAVISTA","E","BONAVISTA","8400600","","WVA","TERRE-NEUVE","48,67","-53,11","25,6"
"BONAVISTA","E","BONAVISTA","8400601","71178","AVA","TERRE-NEUVE","48,67","-53,11","25,6"
"BURGEO","E","BURGEO","8400798","","","TERRE-NEUVE","47,62","-57,62","10,6"
"BURGEO","E","BURGEO 2","8400800","","WBF","TERRE-NEUVE","47,62","-57,62","10,6"
"BURGEO","E","BURGEO NL","8400801","71152","ABF","TERRE-NEUVE","47,62","-57,62","10,6"
"CAPE RACE","F","CAPE RACE (AUT)","8401000","71800","WRA","TERRE-NEUVE","46,66","-53,08","26,5"
"CARTWRIGHT","C","CARTWRIGHT","8501100","71818","WCA","TERRE-NEUVE","53,71","-57,04","14,3"
"CARTWRIGHT","C","CARTWRIGHT A","8501101","","WCA","TERRE-NEUVE","53,68","-57,04","14,3"
"CARTWRIGHT","C","CARTWRIGHT A","8501106","71818","YCA","TERRE-NEUVE","53,68","-57,04","14,3"
"CHURCHILL FALLS","F","CHURCHILL FALLS","8501130","","AFL","TERRE-NEUVE","53,56","-64,09","439,5"
"CHURCHILL FALLS","F","CHURCHILL FALLS A","8501131","71002","ZUM","TERRE-NEUVE","53,56","-64,11","439,5"
"CHURCHILL FALLS","F","CHURCHILL FALLS A","8501132","","","TERRE-NEUVE","53,55","-64,10","439,5"
"CORNER BROOK","A","CORNER BROOK","8401298","71973","WKB","TERRE-NEUVE","48,93","-57,92","151,8"
"CORNER BROOK","A","CORNER BROOK","8401300","","","TERRE-NEUVE","48,95","-57,95","4,6"
"DANIEL'S HARBOUR","E","DANIEL'S HARBOUR","8401405","73024","ADL","TERRE-NEUVE","50,24","-57,58","19,0"
"DANIEL'S HARBOUR","E","DANIELS HARBOUR","8401400","71185","WDH","TERRE-NEUVE","50,24","-57,58","19,0"
"DEER LAKE","C","DEER LAKE A","8401501","71809","YDF","TERRE-NEUVE","49,22","-57,40","21,9"
"DEER LAKE","C","DEER LAKE A","8401502","71809","YDF","TERRE-NEUVE","49,21","-57,39","21,9"
"DUNVILLE/ARGENTIA","D","ARGENTIA (AUT)","8400104","71807","WAR","TERRE-NEUVE","47,31","-54,00","9,5"
"DUNVILLE/ARGENTIA","D","DUNVILLE","8401528","","","TERRE-NEUVE","47,27","-53,92","15,0"
"ENGLEE","G","ENGLEE (AUT)","8401538","71417","WDA","TERRE-NEUVE","50,72","-56,11","30,3"
"FEROLLE POINT","G","FEROLLE POINT (AUT)","8401565","71406","WXI","TERRE-NEUVE","51,02","-57,10","9,1"
"GANDER","B","GANDER AIRPORT CS","8401705","71742","XGD","TERRE-NEUVE","48,95","-54,57","151,0"
"GANDER","B","GANDER INT'L A","8401700","71803","YQX","TERRE-NEUVE","48,95","-54,58","151,2"
"GANDER","B","GANDER INTL A","8401703","71803","YQX","TERRE-NEUVE","48,94","-54,57","151,2"
"GOOSE","A","GOOSE BAY A","8501900","71816","YYR","TERRE-NEUVE","53,32","-60,42","48,8"
"HARBOUR BRETON","D","HARBOUR BRETON","8402071","","","TERRE-NEUVE","47,47","-55,83","30,0"
"HOPEDALE","G","HOPEDALE (AUT)","8502400","71900","WHO","TERRE-NEUVE","55,45","-60,22","11,9"
"LA SCIE","F","LA SCIE","8402520","71337","WAG","TERRE-NEUVE","49,92","-55,67","194,0"
"LETHBRIDGE","C","LETHBRIDGE","8402544","","","TERRE-NEUVE","48,35","-53,90","15,2"
"MARY'S HARBOUR","F","MARY'S HARBOUR","850B5R1","71339","YMH","TERRE-NEUVE","52,30","-55,83","11,6"
"MARY'S HARBOUR","F","MARY'S HARBOUR A","8502591","71817","YMH","TERRE-NEUVE","52,30","-55,83","10,6"
"MARY'S HARBOUR","F","MARY'S HARBOUR A","8502592","71339","YMH","TERRE-NEUVE","52,30","-55,85","10,6"
"MIDDLE ARM","D","MIDDLE ARM","8402644","","","TERRE-NEUVE","49,68","-56,08","47,8"
"NAIN","C","NAIN","8502799","71665","WFP","TERRE-NEUVE","56,55","-61,68","7,6"
"NAIN","C","NAIN A","8502800","71902","YDP","TERRE-NEUVE","56,55","-61,68","6,4"
"NAIN","C","NAIN A","8502801","71902","YDP","TERRE-NEUVE","56,55","-61,68","6,4"
"NAIN","C","NAIN A","8502810","","YDP","TERRE-NEUVE","56,55","-61,68","6,4"
"PORT AUX BASQUES","E","PORT AUX BASQUES","8402975","71197","WZB","TERRE-NEUVE","47,57","-59,15","39,7"
"PORT AUX BASQUES","E","PORT AUX BASQUES","8402980","73026","APB","TERRE-NEUVE","47,57","-59,15","39,7"
"SOPS ARM WHITE BAY","D","SOPS ARM WHITE BAY","8403690","","","TERRE-NEUVE","49,77","-56,88","16,6"
"ST. ANTHONY","E","ST ANTHONY","8403399","71558","WDW","TERRE-NEUVE","51,38","-56,10","29,3"
"ST. ANTHONY","E","ST ANTHONY A","840C401","71819","YAY","TERRE-NEUVE","51,38","-56,10","32,9"
"ST. ANTHONY","E","ST. ANTHONY A","8403389","71819","YAY","TERRE-NEUVE","51,39","-56,07","32,9"
"ST. ANTHONY","E","ST. ANTHONY LWIS","840D401","71830","AAY","TERRE-NEUVE","51,39","-56,09","33,0"
"ST. JOHN'S (AÉROPORT)","C","ST JOHN'S A","8403506","71801","YYT","TERRE-NEUVE","47,62","-52,74","140,5"
"ST. JOHN'S (AÉROPORT)","C","ST. JOHN'S INTL A","8403505","71801","YYT","TERRE-NEUVE","47,62","-52,75","140,5"
"ST. JOHN'S (OUEST)","D","ST JOHN'S WEST CDA","8403600","","","TERRE-NEUVE","47,52","-52,78","114,3"
"ST. JOHN'S (OUEST)","D","ST JOHN'S WEST CDA CS","8403605","","XSW","TERRE-NEUVE","47,52","-52,78","114,0"
"ST. JOHN'S (OUEST)","D","ST JOHNS WEST CLIMATE","8403603","71250","AJW","TERRE-NEUVE","47,51","-52,78","110,0"
"ST. LAWRENCE","D","ST LAWRENCE","8403615","","","TERRE-NEUVE","46,92","-55,38","48,5"
"ST. LAWRENCE","D","ST LAWRENCE","8403616","","WDS","TERRE-NEUVE","46,92","-55,38","48,5"
"ST. LAWRENCE","D","ST LAWRENCE","8403619","71110","ADS","TERRE-NEUVE","46,92","-55,38","48,5"
"STEPHENVILLE","C","STEPHENVILLE A","8403800","71815","YJT","TERRE-NEUVE","48,53","-58,55","24,7"
"STEPHENVILLE","C","STEPHENVILLE A","8403801","71815","YJT","TERRE-NEUVE","48,54","-58,55","24,7"
"TWILLINGATE","F","TWILLINGATE (AUT)","8404025","71402","WDO","TERRE-NEUVE","49,68","-54,80","92,3"
"WABUSH","C","WABUSH A","8504176","","YWK","TERRE-NEUVE","52,92","-66,86","551,4"
"WABUSH","C","WABUSH A","8504177","71825","YWK","TERRE-NEUVE","52,92","-66,86","551,4"
"WABUSH","C","WABUSH LAKE A","8504175","71825","YWK","TERRE-NEUVE","52,93","-66,87","551,4"
"WHITBOURNE","D","WHITBOURNE","8404234","","","TERRE-NEUVE","47,42","-53,54","58,0"
"AKLAVIK","E","AKLAVIK A","2200100","","YKD","TERRITOIRES DU NORD-OUEST","68,22","-135,01","6,4"
"AKLAVIK","E","AKLAVIK A","2200105","","YKD","TERRITOIRES DU NORD-OUEST","68,22","-135,01","6,4"
"CAPE PARRY","C","CAPE PARRY A","2200675","71948","ZCP","TERRITOIRES DU NORD-OUEST","70,17","-124,72","86,6"
"COLVILLE LAKE","D","COLVILLE LAKE","2200824","71055","WFX","TERRITOIRES DU NORD-OUEST","67,02","-126,12","271,0"
"COLVILLE LAKE","D","COLVILLE LAKE A","2200827","","YVL","TERRITOIRES DU NORD-OUEST","67,02","-126,13","274,0"
"DELINE","D","DELINE A","2201023","","YWJ","TERRITOIRES DU NORD-OUEST","65,21","-123,44","214,3"
"DELINE","D","DELINE A","22010KA","","YWJ","TERRITOIRES DU NORD-OUEST","65,21","-123,44","214,3"
"DELINE","D","DELINE CS","2201022","71503","XDE","TERRITOIRES DU NORD-OUEST","65,21","-123,43","212,8"
"FORT GOOD HOPE","C","FORT GOOD HOPE A","2201400","","YGH","TERRITOIRES DU NORD-OUEST","66,24","-128,65","81,4"
"FORT GOOD HOPE","C","FORT GOOD HOPE A","2201406","","YGH","TERRITOIRES DU NORD-OUEST","66,24","-128,65","81,4"
"FORT GOOD HOPE","C","FORT GOOD HOPE CS","2201450","71491","ZGH","TERRITOIRES DU NORD-OUEST","66,24","-128,64","81,7"
"FORT LIARD","D","FORT LIARD","2201579","71497","WJL","TERRITOIRES DU NORD-OUEST","60,23","-123,47","213,4"
"FORT LIARD","D","FORT LIARD A","2201575","","YJF","TERRITOIRES DU NORD-OUEST","60,24","-123,47","215,8"
"FORT LIARD","D","FORT LIARD A","2201581","","YJF","TERRITOIRES DU NORD-OUEST","60,24","-123,47","215,8"
"FORT MCPHERSON","D","FORT MCPHERSON A","2201601","","ZFM","TERRITOIRES DU NORD-OUEST","67,41","-134,86","35,4"
"FORT MCPHERSON","D","FORT MCPHERSON A","2201606","","ZFM","TERRITOIRES DU NORD-OUEST","67,41","-134,86","35,4"
"FORT PROVIDENCE","C","FORT PROVIDENCE","2201799","71087","WID","TERRITOIRES DU NORD-OUEST","61,32","-117,60","161,5"
"FORT RELIANCE","F","FORT RELIANCE (AUT)","2201903","71160","WFZ","TERRITOIRES DU NORD-OUEST","62,71","-109,17","167,6"
"FORT SIMPSON","A","FORT SIMPSON A","2202101","71946","YFS","TERRITOIRES DU NORD-OUEST","61,76","-121,24","169,2"
"FORT SIMPSON","A","FORT SIMPSON A","2202103","71946","YFS","TERRITOIRES DU NORD-OUEST","61,76","-121,24","169,5"
"FORT SIMPSON","A","FORT SIMPSON CLIMATE","2202102","71365","ZFS","TERRITOIRES DU NORD-OUEST","61,76","-121,24","168,0"
"FORT SMITH","C","FORT SMITH A","2202200","71934","YSM","TERRITOIRES DU NORD-OUEST","60,02","-111,96","205,1"
"FORT SMITH","C","FORT SMITH A","2202201","71934","YSM","TERRITOIRES DU NORD-OUEST","60,02","-111,96","205,1"
"FORT SMITH","C","FORT SMITH CLIMATE","2202202","71362","ZSM","TERRITOIRES DU NORD-OUEST","60,03","-111,93","203,0"
"HAY RIVER","A","HAY RIVER A","2202400","71935","YHY","TERRITOIRES DU NORD-OUEST","60,84","-115,78","164,9"
"HAY RIVER","A","HAY RIVER A","2202401","71935","YHY","TERRITOIRES DU NORD-OUEST","60,84","-115,78","164,9"
"HAY RIVER","A","HAY RIVER CLIMATE","2202402","71361","ZHY","TERRITOIRES DU NORD-OUEST","60,84","-115,78","164,0"
"INUVIK","C","INUVIK A","2202570","","YEV","TERRITOIRES DU NORD-OUEST","68,30","-133,48","67,7"
"INUVIK","C","INUVIK A","2202571","","YEV","TERRITOIRES DU NORD-OUEST","68,30","-133,48","67,7"
"INUVIK","C","INUVIK CLIMATE","2202578","71364","ZEV","TERRITOIRES DU NORD-OUEST","68,32","-133,52","103,0"
"INUVIK","C","INUVIK UA","2202582","71957","","TERRITOIRES DU NORD-OUEST","68,32","-133,52","103,2"
"LIVERPOOL BAY","C","LIVERPOOL BAY","220B68C","71960","WLI","TERRITOIRES DU NORD-OUEST","69,60","-130,91","101,9"
"MOULD BAY","F","MOULD BAY A","2502700","","YMD","TERRITOIRES DU NORD-OUEST","76,23","-119,33","12,2"
"MOULD BAY","F","MOULD BAY CS","250M001","71989","WAY","TERRITOIRES DU NORD-OUEST","76,24","-119,35","1,5"
"NORMAN WELLS","C","NORMAN WELLS A","2202800","","","TERRITOIRES DU NORD-OUEST","65,28","-126,80","72,5"
"NORMAN WELLS","C","NORMAN WELLS A","2202801","71043","YVQ","TERRITOIRES DU NORD-OUEST","65,28","-126,80","72,5"
"NORMAN WELLS","C","NORMAN WELLS CLIMATE","2202810","71480","NVQ","TERRITOIRES DU NORD-OUEST","65,29","-126,75","93,6"
"PAULATUK","C","PAULATUK","2203058","71984","ZPK","TERRITOIRES DU NORD-OUEST","69,36","-124,08","6,3"
"PAULATUK","C","PAULATUK A","2203055","","YPC","TERRITOIRES DU NORD-OUEST","69,36","-124,08","4,6"
"PAULATUK","C","PAULATUK A","2203057","","YPC","TERRITOIRES DU NORD-OUEST","69,36","-124,08","4,6"
"PELLY ISLAND","D","PELLY ISLAND","2203095","71502","WND","TERRITOIRES DU NORD-OUEST","69,63","-135,44","17,0"
"SACHS HARBOUR","D","SACHS HARBOUR A","2503649","","YSY","TERRITOIRES DU NORD-OUEST","71,99","-125,24","86,3"
"SACHS HARBOUR","D","SACHS HARBOUR A","2503650","","YSY","TERRITOIRES DU NORD-OUEST","72,00","-125,27","86,3"
"SACHS HARBOUR","D","SACHS HARBOUR CLIMATE","2503648","71467","WSY","TERRITOIRES DU NORD-OUEST","71,99","-125,25","87,5"
"TUKTOYAKTUK","E","TUKTOYAKTUK","2203914","71985","ZUB","TERRITOIRES DU NORD-OUEST","69,43","-133,02","4,6"
"TUKTOYAKTUK","E","TUKTOYAKTUK A","2203911","","YUB","TERRITOIRES DU NORD-OUEST","69,43","-133,03","4,3"
"TUKTOYAKTUK","E","TUKTOYAKTUK A","2203912","","YUB","TERRITOIRES DU NORD-OUEST","69,43","-133,03","4,3"
"ULUKHAKTOK/HOLMAN","D","HOLMAN CS","2502505","71029","XHI","TERRITOIRES DU NORD-OUEST","70,76","-117,80","29,9"
"ULUKHAKTOK/HOLMAN","D","ULUKHAKTOK A","2502501","","YHI","TERRITOIRES DU NORD-OUEST","70,76","-117,81","36,0"
"ULUKHAKTOK/HOLMAN","D","ULUKHAKTOK A","2502503","","YHI","TERRITOIRES DU NORD-OUEST","70,76","-117,81","36,0"
"WHATI","C","WHATI","2202678","71163","WMT","TERRITOIRES DU NORD-OUEST","63,13","-117,24","271,3"
"WRIGLEY","F","WRIGLEY A","2204000","","YWY","TERRITOIRES DU NORD-OUEST","63,21","-123,44","149,7"
"WRIGLEY","F","WRIGLEY A","2204005","","YWY","TERRITOIRES DU NORD-OUEST","63,21","-123,44","149,7"
"YELLOWKNIFE (AÉROPORT)","C","YELLOWKNIFE A","2204100","71936","YZF","TERRITOIRES DU NORD-OUEST","62,46","-114,44","205,7"
"YELLOWKNIFE (AÉROPORT)","C","YELLOWKNIFE A","2204101","71936","YZF","TERRITOIRES DU NORD-OUEST","62,46","-114,44","205,7"
"BURWASH","D","BURWASH","2100179","","WDB","YUKON","61,37","-139,03","806,8"
"BURWASH","D","BURWASH A","2100181","71001","YDB","YUKON","61,37","-139,04","805,3"
"BURWASH","D","BURWASH A","2100182","","YDB","YUKON","61,37","-139,05","806,2"
"BURWASH","D","BURWASH AIRPORT AUTO","2100184","71195","VBR","YUKON","61,37","-139,02","807,0"
"CARMACKS","D","CARMACKS","2100300","","","YUKON","62,10","-136,30","524,9"
"CARMACKS","D","CARMACKS CS","2100301","71039","XCK","YUKON","62,12","-136,19","542,9"
"DAWSON","D","DAWSON","2100LRP","71966","WON","YUKON","64,06","-139,13","370,0"
"DAWSON","D","DAWSON A","2100402","","YDA","YUKON","64,04","-139,13","370,3"
"FARO","E","FARO (AUT)","2100518","71949","WUM","YUKON","62,21","-133,38","716,6"
"FARO","E","FARO A","2100517","","ZFA","YUKON","62,21","-133,37","716,3"
"HAINES JUNCTION","E","HAINES JUNCTION","2100630","71505","WHT","YUKON","60,77","-137,58","595,3"
"HAINES JUNCTION","E","HAINES JUNCTION YTG","2100631","","","YUKON","60,75","-137,51","596,0"
"HOUR LAKE","D","HOUR LAKE","2100FCG","","","YUKON","61,18","-129,13","890,0"
"IVVAVIK NAT. PARK","C","IVVAVIK NAT. PARK","2100660","71978","WOI","YUKON","69,16","-140,15","243,8"
"KOMAKUK BEACH","D","KOMAKUK BEACH","2100682","71046","WKM","YUKON","69,61","-140,20","13,2"
"KOMAKUK BEACH","D","KOMAKUK BEACH A","2100685","71969","YAJ","YUKON","69,58","-140,18","7,3"
"MACMILLAN PASS","G","MACMILLAN PASS","2100693","71990","WNV","YUKON","63,24","-130,04","1379,0"
"MAYO","C","MAYO A","2100700","71965","YMA","YUKON","63,62","-135,87","503,8"
"MAYO","C","MAYO A","2100701","71965","YMA","YUKON","63,62","-135,87","503,8"
"MAYO","C","MAYO A","2100702","","YMA","YUKON","63,62","-135,87","503,8"
"MAYO ROAD","C","MAYO ROAD","2100709","","","YUKON","60,88","-135,18","655,0"
"MCQUESTEN","D","MCQUESTEN","2100719","","","YUKON","63,59","-137,52","458,2"
"OLD CROW","C","OLD CROW A","2100800","","YOC","YUKON","67,57","-139,84","250,2"
"OLD CROW","C","OLD CROW RCS","2100805","71044","ZOC","YUKON","67,57","-139,84","251,2"
"OTTER FALLS","D","OTTER FALLS NCPC","2100840","","","YUKON","61,03","-137,05","829,7"
"PELLY RANCH/FORT SELKIRK","C","PELLY RANCH","2100880","","","YUKON","62,83","-137,31","445,0"
"PELLY RANCH/FORT SELKIRK","C","PELLY RANCH FORT SELKIRK","2100881","73013","CPY","YUKON","62,82","-137,37","454,2"
"ROCK RIVER","E","ROCK RIVER","2100935","71506","WRR","YUKON","66,98","-136,22","731,0"
"SHINGLE POINT","C","SHINGLE POINT A","2100950","71968","YUA","YUKON","68,95","-137,22","49,4"
"TAKHINI RIVER RANCH","E","TAKHINI RIVER RANCH","2101095","","","YUKON","60,95","-135,57","671,0"
"TESLIN","D","TESLIN (AUT)","2101102","71045","WZW","YUKON","60,17","-132,73","705,0"
"TESLIN","D","TESLIN A","2101100","","YZW","YUKON","60,17","-132,74","705,0"
"WATSON LAKE","C","WATSON LAKE (AUT)","2101204","71199","XQH","YUKON","60,12","-128,83","683,3"
"WATSON LAKE","C","WATSON LAKE A","2101200","71953","YQH","YUKON","60,12","-128,82","687,4"
"WATSON LAKE","C","WATSON LAKE A","2101201","","YQH","YUKON","60,12","-128,82","687,3"
"WHITEHORSE","C","WHITEHORSE A","2101300","71964","YXY","YUKON","60,71","-135,07","706,2"
"WHITEHORSE","C","WHITEHORSE A","2101303","71964","YXY","YUKON","60,71","-135,07","706,2"
"WHITEHORSE","C","WHITEHORSE AUTO","2101310","71773","VXY","YUKON","60,73","-135,10","707,0"
"ALLISTON","D","ALLISTON","8300100","","","ÎLE DU PRINCE-ÉDOUARD","46,07","-62,60","61,0"
"CHARLOTTETOWN (AÉROPORT)","C","CHARLOTTETOWN A","8300300","71706","YYG","ÎLE DU PRINCE-ÉDOUARD","46,29","-63,13","48,8"
"CHARLOTTETOWN (AÉROPORT)","C","CHARLOTTETOWN A","8300301","71706","YYG","ÎLE DU PRINCE-ÉDOUARD","46,29","-63,12","50,9"
"EAST POINT","F","EAST POINT (AUT)","8300418","71412","WEP","ÎLE DU PRINCE-ÉDOUARD","46,46","-61,99","7,7"
"ELMWOOD","D","ELMWOOD","8300425","","","ÎLE DU PRINCE-ÉDOUARD","46,25","-63,33","67,0"
"NEW GLASGOW","C","NEW GLASGOW","8300497","","","ÎLE DU PRINCE-ÉDOUARD","46,41","-63,35","6,1"
"NORTH CAPE","G","NORTH CAPE","8300516","71987","WNE","ÎLE DU PRINCE-ÉDOUARD","47,06","-64,00","7,6"
"ST. PETERS/MONTICELLO","D","MONTICELLO","8300447","","","ÎLE DU PRINCE-ÉDOUARD","46,47","-62,47","32,0"
"ST. PETERS/MONTICELLO","D","ST. PETERS","8300562","71310","ZSP","ÎLE DU PRINCE-ÉDOUARD","46,45","-62,58","29,7"
"SUMMERSIDE","E","SUMMERSIDE","8300596","71702","WSD","ÎLE DU PRINCE-ÉDOUARD","46,44","-63,84","12,2"
"SUMMERSIDE","E","SUMMERSIDE A","8300700","","YSU","ÎLE DU PRINCE-ÉDOUARD","46,44","-63,83","19,5"
